1786953442	shadowfit-backend	2.10%	980.1MiB / 30.82GiB
1786953442	shadowfit-mysql	6.14%	629.3MiB / 30.82GiB
1786953442	shadowfit-ai	0.15%	190.9MiB / 19.53GiB
1786953449	shadowfit-backend	88.56%	980.7MiB / 30.82GiB
1786953449	shadowfit-mysql	7.24%	629.6MiB / 30.82GiB
1786953449	shadowfit-ai	5.75%	318MiB / 19.53GiB
1786953457	shadowfit-backend	96.74%	980.6MiB / 30.82GiB
1786953457	shadowfit-mysql	8.05%	629.6MiB / 30.82GiB
1786953457	shadowfit-ai	5.61%	330.3MiB / 19.53GiB
1786953465	shadowfit-backend	3.98%	985MiB / 30.82GiB
1786953465	shadowfit-mysql	7.39%	629.9MiB / 30.82GiB
1786953465	shadowfit-ai	911.51%	17.16GiB / 19.53GiB
1786953473	shadowfit-backend	3.82%	985.1MiB / 30.82GiB
1786953473	shadowfit-mysql	7.05%	629.9MiB / 30.82GiB
1786953473	shadowfit-ai	942.87%	17.32GiB / 19.53GiB
1786953480	shadowfit-backend	3.91%	984.8MiB / 30.82GiB
1786953480	shadowfit-mysql	7.10%	629.9MiB / 30.82GiB
1786953480	shadowfit-ai	920.61%	17.32GiB / 19.53GiB
1786953488	shadowfit-backend	3.85%	984.8MiB / 30.82GiB
1786953488	shadowfit-mysql	6.47%	629.9MiB / 30.82GiB
1786953488	shadowfit-ai	891.26%	17.37GiB / 19.53GiB
1786953496	shadowfit-backend	5.14%	985MiB / 30.82GiB
1786953496	shadowfit-mysql	6.89%	630.9MiB / 30.82GiB
1786953496	shadowfit-ai	896.28%	17.38GiB / 19.53GiB
1786953504	shadowfit-backend	3.83%	984.8MiB / 30.82GiB
1786953504	shadowfit-mysql	6.86%	630.9MiB / 30.82GiB
1786953504	shadowfit-ai	881.72%	17.18GiB / 19.53GiB
1786953512	shadowfit-backend	4.14%	984.8MiB / 30.82GiB
1786953512	shadowfit-mysql	6.83%	630.9MiB / 30.82GiB
1786953512	shadowfit-ai	842.56%	17.34GiB / 19.53GiB
1786953519	shadowfit-backend	4.24%	986.7MiB / 30.82GiB
1786953519	shadowfit-mysql	6.49%	630.9MiB / 30.82GiB
1786953519	shadowfit-ai	946.99%	17.38GiB / 19.53GiB
1786953527	shadowfit-backend	3.72%	986.6MiB / 30.82GiB
1786953527	shadowfit-mysql	6.45%	631.3MiB / 30.82GiB
1786953527	shadowfit-ai	844.66%	17.41GiB / 19.53GiB
1786953535	shadowfit-backend	3.66%	986.6MiB / 30.82GiB
1786953535	shadowfit-mysql	6.60%	631.3MiB / 30.82GiB
1786953535	shadowfit-ai	896.46%	17.41GiB / 19.53GiB
1786953543	shadowfit-backend	0.26%	986.6MiB / 30.82GiB
1786953543	shadowfit-mysql	3.16%	631.3MiB / 30.82GiB
1786953543	shadowfit-ai	842.80%	17.42GiB / 19.53GiB
1786953551	shadowfit-backend	13.79%	987.5MiB / 30.82GiB
1786953551	shadowfit-mysql	6.59%	632.4MiB / 30.82GiB
1786953551	shadowfit-ai	602.46%	16.61GiB / 19.53GiB
